Tweet_ID,User_Name,Mentioned_User_Name,Author_Of_Original_Tweet,created_at,Location,Followers_Count,Following_Count,Listed_Count,Reply_Count,Quote_Count,Favourites_Count,Statuses_Count,Verified,Account_Creation_Date,Retweet_Count,In_Reply_to_user,Type_of_Tweet,Source,Text
1.35726E+18,MfgTodayMag,['GM'],GM,Thu Feb 04 09:43:58 +0000 2021,"Norwich, United Kingdom",1990,2178,42,0,0,709,820,FALSE,Fri Mar 13 08:38:13 +0000 2015,0,,Retweet,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",RT @GM: Norway is crushing us at EVs. That’s crazy. We have to do better. Are you in? #EVerybodyIn #NoWayNorway https://t.co/QH8kXRd4rp
1.35726E+18,PhilippaYoung3,['GM'],GM,Thu Feb 04 09:40:33 +0000 2021,,17,35,0,0,0,1518,64,FALSE,Tue Aug 20 09:52:40 +0000 2019,0,,Retweet,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",RT @GM: Norway is crushing us at EVs. That’s crazy. We have to do better. Are you in? #EVerybodyIn #NoWayNorway https://t.co/QH8kXRd4rp
1.35726E+18,julie_craik,['GM'],GM,Thu Feb 04 09:39:16 +0000 2021,,50,21,1,0,0,85913,85736,FALSE,Mon Aug 21 17:37:31 +0000 2017,0,,Retweet,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",RT @GM: Norway is crushing us at EVs. That’s crazy. We have to do better. Are you in? #EVerybodyIn #NoWayNorway https://t.co/QH8kXRd4rp
1.35726E+18,Macs_85,['GM'],GM,Thu Feb 04 09:38:59 +0000 2021,"Turin, Italy",291,1433,2,0,0,3261,4620,FALSE,Mon Jun 07 16:50:40 +0000 2010,0,,Retweet,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",RT @GM: Norway is crushing us at EVs. That’s crazy. We have to do better. Are you in? #EVerybodyIn #NoWayNorway https://t.co/QH8kXRd4rp
1.35726E+18,joroangelov,['GM'],GM,Thu Feb 04 09:37:27 +0000 2021,"Sofia, Bulgaria",5056,282,59,0,0,6293,10115,FALSE,Fri Jun 04 13:23:18 +0000 2010,0,,Retweet,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",RT @GM: Norway is crushing us at EVs. That’s crazy. We have to do better. Are you in? #EVerybodyIn #NoWayNorway https://t.co/QH8kXRd4rp
1.35726E+18,APeteToThePast,['GM'],GM,Thu Feb 04 09:37:23 +0000 2021,Essen,31,573,0,0,0,3174,809,FALSE,Thu Apr 09 10:21:41 +0000 2009,0,,Retweet,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",RT @GM: Norway is crushing us at EVs. That’s crazy. We have to do better. Are you in? #EVerybodyIn #NoWayNorway https://t.co/QH8kXRd4rp
1.35726E+18,andreaskaju,['GM'],GM,Thu Feb 04 09:35:11 +0000 2021,Baltic Bubble,4468,1825,78,0,0,9709,19930,TRUE,Sun Apr 27 17:31:57 +0000 2008,0,,Retweet,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",RT @GM: Norway is crushing us at EVs. That’s crazy. We have to do better. Are you in? #EVerybodyIn #NoWayNorway https://t.co/QH8kXRd4rp
1.35726E+18,BobbyKennedy_HC,['GM'],GM,Thu Feb 04 09:33:47 +0000 2021,Australia,2048,463,22,0,0,3672,2504,FALSE,Fri Jan 26 02:16:31 +0000 2018,0,,Retweet,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",RT @GM: Norway is crushing us at EVs. That’s crazy. We have to do better. Are you in? #EVerybodyIn #NoWayNorway https://t.co/QH8kXRd4rp
1.35726E+18,StefaandeKezel,['GM'],GM,Thu Feb 04 09:32:45 +0000 2021,Planet Earth,63,244,1,0,0,836,526,FALSE,Mon Oct 06 13:29:13 +0000 2014,0,,Retweet,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>",RT @GM: Norway is crushing us at EVs. That’s crazy. We have to do better. Are you in? #EVerybodyIn #NoWayNorway https://t.co/QH8kXRd4rp
1.35726E+18,y3eom,['GM'],GM,Thu Feb 04 09:31:11 +0000 2021,Edinburgh,241,497,9,0,0,828,619,FALSE,Fri Dec 09 18:28:01 +0000 2011,0,,Retweet,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",RT @GM: Norway is crushing us at EVs. That’s crazy. We have to do better. Are you in? #EVerybodyIn #NoWayNorway https://t.co/QH8kXRd4rp
